<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SBER,D,211201,000000,324.4
SBER,D,211202,000000,326.8
SBER,D,211203,000000,320.66
SBER,D,211206,000000,307.5
SBER,D,211207,000000,309.79
SBER,D,211208,000000,296.95
SBER,D,211209,000000,300.4
SBER,D,211210,000000,297.44
SBER,D,211213,000000,280.64
SBER,D,211214,000000,284.9
SBER,D,211215,000000,286.65
SBER,D,211216,000000,295.89
SBER,D,211217,000000,294.9
SBER,D,211220,000000,288.4
SBER,D,211221,000000,291.7
SBER,D,211222,000000,294
SBER,D,211223,000000,292.8
SBER,D,211224,000000,293.89
SBER,D,211227,000000,295.68
SBER,D,211228,000000,295
SBER,D,211229,000000,293.51
SBER,D,211230,000000,293.49
SBER,D,220103,000000,305.47
SBER,D,220104,000000,304.24
SBER,D,220105,000000,287.01
SBER,D,220106,000000,293.92
SBER,D,220110,000000,291.69
SBER,D,220111,000000,291.88
SBER,D,220112,000000,290.4
SBER,D,220113,000000,272.5
SBER,D,220114,000000,261
SBER,D,220117,000000,257.78
SBER,D,220118,000000,234.7
SBER,D,220119,000000,244.86
SBER,D,220120,000000,254.61
SBER,D,220121,000000,246.9
SBER,D,220124,000000,236.97
SBER,D,220125,000000,239.59
SBER,D,220126,000000,236.9
SBER,D,220127,000000,254.29
SBER,D,220128,000000,257.82
SBER,D,220131,000000,269.42
SBER,D,220201,000000,264.7
SBER,D,220202,000000,261
SBER,D,220203,000000,250.79
SBER,D,220204,000000,256.53
SBER,D,220207,000000,257.61
SBER,D,220208,000000,269.8
SBER,D,220209,000000,279.09
SBER,D,220210,000000,275.2
SBER,D,220211,000000,260.83
SBER,D,220214,000000,256.7
SBER,D,220215,000000,274
SBER,D,220216,000000,277.78
SBER,D,220217,000000,260.58
SBER,D,220218,000000,250.28
SBER,D,220221,000000,201
SBER,D,220222,000000,208.53
SBER,D,220224,000000,132.18
SBER,D,220225,000000,131.12
SBER,D,220324,000000,136.24
SBER,D,220325,000000,131.5
SBER,D,220328,000000,125
SBER,D,220329,000000,128.77
SBER,D,220330,000000,134.6
SBER,D,220331,000000,143.69
SBER,D,220401,000000,154.5
SBER,D,220404,000000,166
SBER,D,220405,000000,154.1
SBER,D,220406,000000,141.6
SBER,D,220407,000000,147.5
SBER,D,220408,000000,143.72
SBER,D,220411,000000,138.69
SBER,D,220412,000000,135.38
SBER,D,220413,000000,135.5
SBER,D,220414,000000,129.05
SBER,D,220415,000000,130.88
SBER,D,220418,000000,123.85
SBER,D,220419,000000,120.3
SBER,D,220420,000000,121.5
SBER,D,220421,000000,118.65
SBER,D,220422,000000,116.97
SBER,D,220425,000000,111.9
SBER,D,220426,000000,122.36
SBER,D,220427,000000,131.11
SBER,D,220428,000000,123.85
SBER,D,220429,000000,128.8
SBER,D,220504,000000,123.2
SBER,D,220505,000000,124.8
SBER,D,220506,000000,123.1
SBER,D,220511,000000,123.34
SBER,D,220512,000000,119.15
